Time,Temp
15-Aug,70
15-Sep,67.3
15-Oct,51.3
15-Nov,46.4
15-Dec,41.4
16-Jan,25.5
16-Feb,31.2
16-Mar,43.8
16-Apr,48.7
16-May,58.5
16-Jun,69.1
16-Jul,74.5
16-Aug,74.9
16-Sep,67.3
16-Oct,54
16-Nov,43.5
16-Dec,31.8
17-Jan,31.9
17-Feb,37.1
17-Mar,35.4
17-Apr,54.9
17-May,58.1
17-Jun,68.1
17-Jul,72.6
17-Aug,68.3
17-Sep,64.3
17-Oct,56.8
17-Nov,38.9
17-Dec,28.8
